Original Order,Measurement Date,Sample #,Replicate,Original Tag,Actual Species (JBW),Corrected Code,Length (mm),Width at Midpoint (mm),Width at Widest (mm),Width at Base (mm),Length/Width at Midpoint,Notes
162,260330,53,C,DUCY Little Uvas Creek 6N 231216 #111,DUCY,,57.28,18.08,18.65,17.77,3.168141593,
214,260414,70,A,DUCY Little Uvas Creek Road 231216 FC 29,DUCY,,101.87,15.755,16.935,16.43,6.465883846,"Average taken for midpoint between sample 15 & 70, DUSE Little Uvas Creek 231216 & DUCY Little Uvas Creek Road 231216 FC 29"
215,260414,70,B,DUCY Little Uvas Creek Road 231216 FC 29,DUCY,,103.09,19.905,20.345,17.62,5.179100728,"Average taken for midpoint between sample 15 & 70, DUSE Little Uvas Creek 231216 & DUCY Little Uvas Creek Road 231216 FC 29"
216,260414,70,C,DUCY Little Uvas Creek Road 231216 FC 29,DUCY,,106.93,17.425,19.635,16.255,6.136585366,"Average taken for midpoint between sample 15 & 70, DUSE Little Uvas Creek 231216 & DUCY Little Uvas Creek Road 231216 FC 29"
61,260223,21,A,DUCY Sierra Azule Fc26 110 230807,DUCY,,93.34,17.76,16.75,15.7,5.255630631,
62,260223,21,B,DUCY Sierra Azule Fc26 110 230807,DUCY,,86.79,17.82,21.87,16.46,4.87037037,
63,260223,21,C,DUCY Sierra Azule Fc26 110 230807,DUCY,,92.42,19.5,22.04,16.79,4.739487179,
172,260410,57,A,DUCY Stevens Canyon RD Redwood Gulch 250418A,DUCY,,81.43,32.35,32.88,25.04,2.517156105,
173,260410,57,B,DUCY Stevens Canyon RD Redwood Gulch 250418A,DUCY,,84.98,28.61,28.95,22.79,2.970290108,
174,260410,57,C,DUCY Stevens Canyon RD Redwood Gulch 250418A,DUCY,,89.27,31.76,32.21,25.88,2.810768262,
76,260302,26,A,DUCY Stevens Canyon Rd Redwood Gulch 250418B,DUCY,,63.07,26.7,27.47,23.37,2.362172285,
77,260302,26,B,DUCY Stevens Canyon Rd Redwood Gulch 250418B,DUCY,,70.95,26.02,27.02,20.97,2.726748655,
78,260302,26,C,DUCY Stevens Canyon Rd Redwood Gulch 250418B,DUCY,,70.02,26.36,26.91,22.43,2.65629742,
19,260223,7,A,DUCY-L.G. Cr. Tr. FC 274 230805,DUCY,,45.56,20.53,32.13,32.13,2.219191427,Plant is not longer in the greenhouse
20,260223,7,B,DUCY-L.G. Cr. Tr. FC 274 230805,DUCY,,50.37,19.91,25.68,25.49,2.52988448,Plant is not longer in the greenhouse
21,260223,7,C,DUCY-L.G. Cr. Tr. FC 274 230805,DUCY,,48.11,20.25,24.76,24.76,2.375802469,Plant is not longer in the greenhouse
154,260330,51,A,DU? Boulder Ridge 250812A,DUCYxDUSE,,69.81,20.14,20.17,12.99,3.466236346,
155,260330,51,B,DU? Boulder Ridge 250812A,DUCYxDUSE,,64.94,17.54,19.02,13.37,3.702394527,
156,260330,51,C,DU? Boulder Ridge 250812A,DUCYxDUSE,,71.41,19.09,19.48,12.38,3.740701938,
142,260313,47,A,DU? Boulder Ridge 250812B,DUCYxDUSE,,107.72,22.38,22.67,11.68,4.813226095,
143,260313,47,B,DU? Boulder Ridge 250812B,DUCYxDUSE,,90.6,17.99,18.47,11.39,5.036131184,
144,260313,47,C,DU? Boulder Ridge 250812B,DUCYxDUSE,,93.16,21.8,21.89,13.84,4.273394495,
103,260305,35,A,DU? Boulder Ridge 250812C,DUCYxDUSE,,73.85,12.81,13.79,8.61,5.765027322,
104,260305,35,B,DU? Boulder Ridge 250812C,DUCYxDUSE,,68.87,18.31,19.6,12.41,3.761332605,
105,260305,35,C,DU? Boulder Ridge 250812C,DUCYxDUSE,,83.45,16.13,15.9,10.43,5.173589585,
118,260305,40,A,DU? Boulder Ridge 250812D,DUCYxDUSE,,84.64,19.695,23.55,16.615,4.297537446,Average taken for midpoint with Sample #25 DU? Boulder Ridge 250812
119,260305,40,B,DU? Boulder Ridge 250812D,DUCYxDUSE,,83.135,18.68,19.43,14.89,4.450481799,Average taken for midpoint with Sample #25 DU? Boulder Ridge 250812
120,260305,40,C,DU? Boulder Ridge 250812D,DUCYxDUSE,,88.255,21.475,22.58,16.845,4.109662398,Average taken for midpoint with Sample #25 DU? Boulder Ridge 250812
13,260220,5,A,DU? 1 Glenwood West 250327B,DULA,,132.55,33.09,33.64,18.93,4.005741916,
14,260220,5,B,DU? 1 Glenwood West 250327B,DULA,,127.3,29.77,30.67,20.29,4.276116896,
15,260220,5,C,DU? 1 Glenwood West 250327B,DULA,,142.32,30.77,30.9,21.57,4.625284368,
148,260313,49,A,DU? 3 Glenwood West 250327A,DULA,,115.62,17.2,17.26,14.47,6.722093023,
149,260313,49,B,DU? 3 Glenwood West 250327A,DULA,,129.12,17.15,17.21,15.86,7.528862974,
150,260313,49,C,DU? 3 Glenwood West 250327A,DULA,,128.49,17.7,18.05,15.81,7.259322034,
1,260220,1,A,DULA San Bernardo Creek 250908A,DULA,,210.92,23.1,23.39,23.29,9.130735931,Average taken for midpoint
2,260220,1,B,DULA San Bernardo Creek 250908A,DULA,,191.44,23.825,23.85,15.13,8.035257083,Average taken for midpoint
3,260220,1,C,DULA San Bernardo Creek 250908A,DULA,,183.35,21.32,22.85,18.48,8.599906191,Average taken for midpoint
46,260223,16,A,DULA San Bernardo Creek 250908B,DULA,,140.9,18.76,19.36,15.91,7.510660981,Average taken for midpoint
47,260223,16,B,DULA San Bernardo Creek 250908B,DULA,,153.7,15.29,16.12,13.15,10.05232178,Average taken for midpoint
48,260223,16,C,DULA San Bernardo Creek 250908B,DULA,,130.55,18.98,19.86,14.14,6.87829294,Average taken for midpoint
4,260220,2,A,DULA San Bernardo Creek 251027C,DULA,,132.05,10.31,17.62,15.55,12.80795344,
5,260220,2,B,DULA San Bernardo Creek 251027C,DULA,,119.48,10.25,18.94,16.52,11.65658537,
6,260220,2,C,DULA San Bernardo Creek 251027C,DULA,,112.47,14.04,22.33,18.33,8.010683761,
190,260410,63,A,DUSE 230726 24-26 Crosp South Gate,DUSE,,85.88,8.44,8.57,7.71,10.17535545,
191,260410,63,B,DUSE 230726 24-26 Crosp South Gate,DUSE,,95.35,9.92,10.1,9.59,9.611895161,
192,260410,63,C,DUSE 230726 24-26 Crosp South Gate,DUSE,,102.65,6.57,6.97,6.02,15.62404871,
64,260223,22,A,DUSE 230726 Dana Rocks DU-26 115 FC 23,DUSE,,87.16,7.65,7.8,7.04,11.39346405,Unsure of tag (donna??)
65,260223,22,B,DUSE 230726 Dana Rocks DU-26 115 FC 23,DUSE,,87.7,6.91,6.98,6.89,12.69175109,
66,260223,22,C,DUSE 230726 Dana Rocks DU-26 115 FC 23,DUSE,,83.79,7.19,7.97,6.69,11.65368567,
58,260223,20,A,DUSE 230726 Tulare Hill,DUSE,,97.11,7.15,8.91,7.96,13.58181818,
59,260223,20,B,DUSE 230726 Tulare Hill,DUSE,,100.82,7.89,8.81,8.39,12.77820025,
60,260223,20,C,DUSE 230726 Tulare Hill,DUSE,,102.35,8.27,9.24,9.24,12.37605804,
199,260410,66,A,DUSE Baird 230818,DUSE,,80.86,7.8,8.03,8.02,10.36666667,
200,260410,66,B,DUSE Baird 230818,DUSE,,77.81,7.26,7.6,8.14,10.71763085,
201,260410,66,C,DUSE Baird 230818,DUSE,,69.65,7.44,7.81,7.36,9.36155914,
88,260302,30,A,DUSE Crosp-Mid Elevo Transect 240427 112>,DUSE,,99.85,5.48,5.77,4.83,18.22080292,
89,260302,30,B,DUSE Crosp-Mid Elevo Transect 240427 112>,DUSE,,84.2,6.58,7.23,5.62,12.79635258,
90,260302,30,C,DUSE Crosp-Mid Elevo Transect 240427 112>,DUSE,,88.4,5.73,5.87,4.52,15.42757417,
121,260305,41,A,DUSE Dude Rock 230808 Du-34,DUSE,,113.35,10.99,11.02,8.31,10.31392175,
122,260305,41,B,DUSE Dude Rock 230808 Du-34,DUSE,,109.18,12.38,12.38,10.2,8.819063005,
123,260305,41,C,DUSE Dude Rock 230808 Du-34,DUSE,,109.78,9.93,9.98,8.33,11.05538771,
151,260313,50,A,DUSE Dude Rock 230810,DUSE,,66.99,10.38,10.78,11.01,6.453757225,
152,260313,50,B,DUSE Dude Rock 230810,DUSE,,67.17,9.78,10.55,9.32,6.86809816,
153,260313,50,C,DUSE Dude Rock 230810,DUSE,,66.07,11.41,11.59,9.81,5.790534619,
178,260410,59,A,DUSE Dude Rock 230818 # 121,DUSE,,75.82,6.5,7.32,7.43,11.66461538,
179,260410,59,B,DUSE Dude Rock 230818 # 121,DUSE,,68.19,7.45,7.59,8.49,9.153020134,
166,260330,55,A,DUSE Dude Rock 230818 #109,DUSE,,60.2,6.25,6.7,6.68,9.632,
167,260330,55,B,DUSE Dude Rock 230818 #109,DUSE,,61.27,7.32,7.86,6.39,8.370218579,
168,260330,55,C,DUSE Dude Rock 230818 #109,DUSE,,64.61,7.29,7.87,6.78,8.862825789,
193,260410,64,A,DUSE Dude Rock 230818 #119,DUSE,,99.26,8.91,9.01,8,11.14029181,
194,260410,64,B,DUSE Dude Rock 230818 #119,DUSE,,105.22,8.21,8.55,7.54,12.81607795,
195,260410,64,C,DUSE Dude Rock 230818 #119,DUSE,,98.14,7.36,7.36,7.89,13.33423913,
180,260410,59,C,DUSE Dude Rock 230818 #121,DUSE,,74.32,7.47,7.53,7.67,9.949129853,
217,260423,71,A,DUSE Dude Rock 230818 #125,DUSE,,77.48,8.02,8.01,7.43,9.66084788,
218,260423,71,B,DUSE Dude Rock 230818 #125,DUSE,,74.01,7.69,8.46,7.8,9.624187256,
219,260423,71,C,DUSE Dude Rock 230818 #125,DUSE,,88.1,7.6,7.82,7.25,11.59210526,
181,260410,60,A,DUSE Dude Rock 230818 #126,DUSE,,72.85,8.6,8.64,8.06,8.470930233,
182,260410,60,B,DUSE Dude Rock 230818 #126,DUSE,,68.19,6.39,6.75,6.31,10.6713615,
183,260410,60,C,DUSE Dude Rock 230818 #126,DUSE,,74.32,8.41,8.45,7.22,8.837098692,
109,260305,37,A,DUSE Dude Rock 230818 101A,DUSE,,71.77,6.48,6.8,5.38,11.07561728,
110,260305,37,B,DUSE Dude Rock 230818 101A,DUSE,,77.8,7.55,7.86,6.36,10.30463576,
111,260305,37,C,DUSE Dude Rock 230818 101A,DUSE,,86.06,8.6,9.37,7.52,10.00697674,
112,260305,38,A,DUSE Dude Rock 230818 101B,DUSE,,106.71,10.56,10.73,10.56,10.10511364,
113,260305,38,B,DUSE Dude Rock 230818 101B,DUSE,,117.8,9.29,9.47,7.04,12.6803014,
114,260305,38,C,DUSE Dude Rock 230818 101B,DUSE,,114.3,8.71,8.69,7.14,13.1228473,
115,260305,39,A,DUSE Dude Rock 230818 101C,DUSE,,120.15,9.55,9.63,7.27,12.58115183,
116,260305,39,B,DUSE Dude Rock 230818 101C,DUSE,,114.92,10.48,10.74,7.75,10.96564885,
117,260305,39,C,DUSE Dude Rock 230818 101C,DUSE,,85.96,8.23,8.28,6.21,10.44471446,
100,260305,34,A,DUSE Dude Rock 230818 24261 color #128,DUSE,,55.94,8.01,9.25,9.25,6.983770287,
101,260305,34,B,DUSE Dude Rock 230818 24261 color #128,DUSE,,57.17,10.25,10.61,9.45,5.577560976,
102,260305,34,C,DUSE Dude Rock 230818 24261 color #128,DUSE,,57.44,7.42,8.04,6.81,7.741239892,
196,260410,65,A,DUSE Dude Rock 230818 Du-35,DUSE,,102.44,8.29,8.54,7.86,12.35705669,
197,260410,65,B,DUSE Dude Rock 230818 Du-35,DUSE,,105.1,7.32,7.36,6.67,14.3579235,
198,260410,65,C,DUSE Dude Rock 230818 Du-35,DUSE,,109.12,6.93,7.14,7.46,15.74603175,
82,260302,28,A,DUSE Dude Rock 230818 EKM/EKM AR-B Texas #5 221024,DUSE,,72.06,6.84,6.95,5.46,10.53508772,
83,260302,28,B,DUSE Dude Rock 230818 EKM/EKM AR-B Texas #5 221024,DUSE,,58.04,4.56,4.93,4.92,12.72807018,
84,260302,28,C,DUSE Dude Rock 230818 EKM/EKM AR-B Texas #5 221024,DUSE,,76.56,7.06,7.29,5.53,10.84419263,
145,260313,48,A,DUSE Dude Rock 230818 FC 22 Du-33,DUSE,,119.27,12.77,12.87,9.14,9.339859045,
146,260313,48,B,DUSE Dude Rock 230818 FC 22 Du-33,DUSE,,112.48,12.45,12.5,10.39,9.034538153,
147,260313,48,C,DUSE Dude Rock 230818 FC 22 Du-33,DUSE,,123.25,12.15,12.57,10.31,10.14403292,
139,260313,46,A,DUSE Dude Rock 230818 Type Sample for genome 250829,DUSE,,42.63,6.2,8.2,6.07,6.875806452,
140,260313,46,B,DUSE Dude Rock 230818 Type Sample for genome 250829,DUSE,,40.6,7.16,7.83,6.1,5.670391061,
141,260313,46,C,DUSE Dude Rock 230818 Type Sample for genome 250829,DUSE,,45.11,7.93,8.41,6,5.68852459,
163,260330,54,A,DUSE Dude Rock 230818 Y07,DUSE,,59.95,8.27,8.53,6.66,7.249093108,
164,260330,54,B,DUSE Dude Rock 230818 Y07,DUSE,,64.84,7.4,7.4,7.1,8.762162162,
165,260330,54,C,DUSE Dude Rock 230818 Y07,DUSE,,63.28,6.97,6.97,5.84,9.078909613,
175,260410,58,A,DUSE Dude Rock 230818-102,DUSE,,65.89,9.1,9.44,8.66,7.240659341,
176,260410,58,B,DUSE Dude Rock 230818-102,DUSE,,67.5,10.48,11.17,7.06,6.440839695,
177,260410,58,C,DUSE Dude Rock 230818-102,DUSE,,64.33,8.82,8.94,5.59,7.293650794,
202,260414,67,A,DUSE Quicksilver Mine Hill Trail #2 250714,DUSE,,94.625,10.955,11.54,9.61,8.637608398,"Average taken for midpoint between sample #4 & #67, same plant measured twice"
203,260414,67,B,DUSE Quicksilver Mine Hill Trail #2 250714,DUSE,,85.565,10.34,10.78,8.955,8.275145068,"Average taken for midpoint between sample #4 & #67, same plant measured twice"
204,260414,67,C,DUSE Quicksilver Mine Hill Trail #2 250714,DUSE,,94.195,9.41,9.92,8.7,10.01009564,"Average taken for midpoint between sample #4 & #67, same plant measured twice"
52,260223,18,A,DUSE Quicksilver Mine Tr #1 250714A,DUSE,,79.69,11.76,11.91,11.81,6.776360544,Relatively wide leaves for DUSE (DUCYxDUSE hybrid?)
53,260223,18,B,DUSE Quicksilver Mine Tr #1 250714A,DUSE,,91.82,13.02,13.23,11.64,7.052227343,Relatively wide leaves for DUSE (DUCYxDUSE hybrid?)
54,260223,18,C,DUSE Quicksilver Mine Tr #1 250714A,DUSE,,75.08,14.67,14.77,12.65,5.117927744,Relatively wide leaves for DUSE (DUCYxDUSE hybrid?)
31,260223,11,A,DUSE Quicksilver Mine Tr #1 250714B,DUSE,,86.54,10.34,10.34,6.67,8.369439072,
32,260223,11,B,DUSE Quicksilver Mine Tr #1 250714B,DUSE,,82.18,13.3,13.78,9.92,6.178947368,
33,260223,11,C,DUSE Quicksilver Mine Tr #1 250714B,DUSE,,85.8,12.51,12.65,7.34,6.858513189,
130,260313,43,A,DUSE Quicksilver Mine Tr #1 250714C,DUSE,,52.14,13.56,13.12,9.3,3.845132743,
131,260313,43,B,DUSE Quicksilver Mine Tr #1 250714C,DUSE,,45.71,15.4,15.4,9.28,2.968181818,
132,260313,43,C,DUSE Quicksilver Mine Tr #1 250714C,DUSE,,48.77,13.96,13.99,9.55,3.493553009,
184,260410,61,A,DUSE Rancho San Vicente #1of 2 230925,DUSE,,88.24,9.43,9.47,9.52,9.357370095,
185,260410,61,B,DUSE Rancho San Vicente #1of 2 230925,DUSE,,115.01,9.42,9.51,10.75,12.20912951,
186,260410,61,C,DUSE Rancho San Vicente #1of 2 230925,DUSE,,98.69,9.14,9.31,10.06,10.797593,
97,260305,33,A,DUSE Rancho San Vicente #2 of 2 Du-27116 FC21 230925,DUSE,,102.2,10.61,10.95,8.94,9.632422243,
98,260305,33,B,DUSE Rancho San Vicente #2 of 2 Du-27116 FC21 230925,DUSE,,102.67,11.8,12.16,11.04,8.700847458,
99,260305,33,C,DUSE Rancho San Vicente #2 of 2 Du-27116 FC21 230925,DUSE,,111.91,9.71,10.02,9.14,11.52523172,
133,260313,44,A,DUSE Richmond Ranch 240911B,DUSE,,67.03,4.82,4.94,3.98,13.906639,
134,260313,44,B,DUSE Richmond Ranch 240911B,DUSE,,55.02,4.41,4.66,3.37,12.47619048,
135,260313,44,C,DUSE Richmond Ranch 240911B,DUSE,,49.28,3.96,4.28,3.64,12.44444444,
34,260223,12,A,DUSE Richmond Ranch 240911D,DUSE,,97.9,7.99,8.15,8.03,12.25281602,
35,260223,12,B,DUSE Richmond Ranch 240911D,DUSE,,101.71,9.12,9.25,8.47,11.15241228,
36,260223,12,C,DUSE Richmond Ranch 240911D,DUSE,,103.28,8.7,8.85,7.02,11.87126437,
208,260414,69,A,DUSE Richmond Ranch NE 240911C,DUSE,,77.8,5.18,9.05,9.05,15.01930502,
209,260414,69,B,DUSE Richmond Ranch NE 240911C,DUSE,,82.29,6.1,9.66,9.41,13.49016393,
210,260414,69,C,DUSE Richmond Ranch NE 240911C,DUSE,,81.42,5.59,10.41,10.21,14.56529517,
124,260313,42,A,DUSE Silver Ck. Valley Rd. 250812A,DUSE,,27.83,4.82,5.775,5.61,5.773858921,"Measured same plant twice, average taken for midpoint"
125,260313,42,B,DUSE Silver Ck. Valley Rd. 250812A,DUSE,,25.52,5.615,5.915,5.73,4.544968833,"Measured same plant twice, average taken for midpoint"
126,260313,42,C,DUSE Silver Ck. Valley Rd. 250812A,DUSE,,26.72,5.285,5.96,5.96,5.055818354,"Measured same plant twice, average taken for midpoint"
106,260305,36,A,DUSE Stiles FC24 108 230808,DUSE,,81.32,11.33,11.79,10.42,7.177405119,
107,260305,36,B,DUSE Stiles FC24 108 230808,DUSE,,66.11,11.8,12.74,12.53,5.602542373,
108,260305,36,C,DUSE Stiles FC24 108 230808,DUSE,,67.2,9.3,10.87,10.36,7.225806452,
55,260223,19,A,DUSE Tulare Hill 240618 #127,DUSE,,95.21,9.64,9.83,8.05,9.876556017,Plant is not longer in the greenhouse
56,260223,19,B,DUSE Tulare Hill 240618 #127,DUSE,,85.34,8.32,10.75,7.9,10.25721154,Plant is not longer in the greenhouse
57,260223,19,C,DUSE Tulare Hill 240618 #127,DUSE,,95.69,9.63,9.66,8.87,9.936656282,Plant is not longer in the greenhouse
